#男性,initial_l,67岁到92岁的每年死亡率,g = 0,
时间节点k取值, initial_l
0-3, 0.002158
4-7, 0.00236
8-11, 0.002547
12-15, 0.00291
16-19, 0.003078
20-23, 0.003433
24-27, 0.003799
28-31, 0.004197
32-35, 0.0047143
36-39, 0.005244
40-43, 0.005825
44-47, 0.006522
48-51, 0.007321
52-55, 0.008313
56-59, 0.009229
60-63, 0.010757
64-67, 0.012302
68-71, 0.014519
72-75, 0.016882
76-79, 0.019987
80-83, 0.024745
84-87, 0.031389
88-91, 0.042602
92-95, 0.062292
96-99, 0.114221



#女性，50岁到75岁的每年死亡率，g = 0：initial_l
# [0.001155, 0.001233, 0.001407, 0.001604, 0.0017653, 0.001932, 0.002212, 0.002463, 0.002785, 0.003133, 0.0035, 0.0040106,0.004864, 0.005382, 0.006170, 0.007008, 0.008504, 0.010768, 0.01258, 0.015748, 0.0194, 0.0265, 0.0375, 0.0575, 0.111408]


#男性，50岁到75岁的每年死亡率，g = 0：initial_l

# 0 0.001198999999999999 with minimum difference: 9.414523053296459e-05
# 1 0.0013129999999999997 with minimum difference: 7.361465006283652e-05
    #0.0013059999999999997 with minimum difference: 5.062485767431957e-05
# 2 0.0014589999999999998 with minimum difference: 0.00010984426725533375
# 3 0.0015669999999999992 with minimum difference: 5.300048033728827e-05
# 4 0.001802999999999999 with minimum difference: 0.00010711046585881734
# 5 0.0020100000000000014 with minimum difference: 6.135213320040273e-05
# 6 0.0022640000000000013 with minimum difference: 1.3154050620037272e-05
# 7 0.0025000000000000005 with minimum difference: 0.00013562982848919908
# 8 0.002777 with minimum difference: 0.00010430398047754641
# 9 0.003156 with minimum difference: 0.00033043747517871175
# 10 0.003646000000000001 with minimum difference: 0.00042152687972096814
# 11 0.004170999999999999 with minimum difference: 0.00019019576559722862
# 12 0.004732999999999999 with minimum difference: 0.0009294246389885269
# 13 0.005315999999999998 with minimum difference: 0.00015875276855696618
# 14 0.006224 with minimum difference: 0.0002090384431906317
# 15 0.007381999999999998 with minimum difference: 1.0148148888000641e-05
# 16 0.008835999999999995 with minimum difference: 0.0006681380983196983
# 17 0.01073399999999999 with minimum difference: 0.00013494802980305864
# 18 0.012752999999999997 with minimum difference: 0.00031587878002782566
# 19 0.015820999999999998 with minimum difference: 0.0001368060824088746

# 20 0.020291000000000014 with minimum difference: 7.230883453582249e-05

# 21 0.02776700000000001 with minimum difference: 0.0008331409717094312

# 22 0.037762000000000004 with minimum difference: 0.0005230234688511914

# 23 0.05969500000000002 with minimum difference: 0.0004979771289301549
# 24 0.11397099999999999 with minimum difference: 0.00019739232462058498

#男性，67岁到92岁的每年死亡率，g = 0：initial_l
# 0 0.0021580000000000037 with minimum difference: 2.5275114453063297e-05
# 1 0.0025 0.002360000000000002 with minimum difference: 9.353727345698393e-05
# 2 0.0027 0.0025470000000000024 with minimum difference: 5.0529090333602256e-05
# 3 0.0029 0.002910000000000001 with minimum difference: 0.00010311640484278461
# 4 0.00316 0.0030780000000000013 with minimum difference: 4.8683458368538324e-05
# 5 0.0034 0.0034330000000000003 with minimum difference: 0.00015440738872309068
# 6 0.00385 0.0037990000000000003 with minimum difference: 8.36330621459408e-05
# 7 0.004197 with minimum difference: 5.6839680985174e-06
# 8 0.0047143 with minimum difference: 0.0002744537017909318
# 9 0.005244 with minimum difference: 0.0002578961306577074
# 10 0.0058 #0.005825 with minimum difference: 6.283280357382431e-05
# 11 0.0066 #0.006522000000000002 with minimum difference: 2.152786016705599e-05
# 12 0.00735 #0.0073209999999999985 with minimum difference: 1.57276698018044e-05
# 13 0.0084 #0.008312999999999997 with minimum difference: 1.5072191121012768e-05
# 14 0.009228999999999998 with minimum difference: 2.5150223584846643e-05
# 15 0.0108 #0.010757 with minimum difference: 0.0002086902657447709
# 16 0.012301999999999997 with minimum difference: 0.001092562578279041
# 17 0.014519 with minimum difference: 0.00010068078396020808
# 18 0.016882 with minimum difference: 0.00027729915032134733
# 19 0.019987 with minimum difference: 8.400224269991541e-05
# 20 0.024745 with minimum difference: 7.309062643570674e-052
# 21 0.031389 with minimum difference: 0.0001240688387536132
# 22 0.042602 with minimum difference: 0.00030485783360589824
# 23 0.062292 with minimum difference: 0.00018448416011448976
# 24 0.114221 with minimum difference: 0.0001133216573975665


#男性, 67岁到92岁的每年死亡率, g = 0.02, initial_l
# 0 0.006187 with minimum difference: 0.0008597077290228294
# 1 0.00661 with minimum difference: 0.0001133620653207823
# 2 0.007020000000000001 with minimum difference: 0.00018987129706600492
# 3 0.0075369999999999986 with minimum difference: 0.0003581135504787808
# 4 0.008060999999999994 with minimum difference: 3.7540517815057295e-05

# 5 0.008618999999999995 with minimum difference: 0.00010915224988021499
# 6 0.00931899999999999 with minimum difference: 8.078056984800464e-05
# 7 0.010025999999999998 with minimum difference: 0.0010148795278495243
# 8 0.010985999999999998 with minimum difference: 0.0005726942079858355
# 9 0.011866 with minimum difference: 0.00011640083933309175
# 10 0.012789 with minimum difference: 0.0001357848364556824
# 11 0.014071999999999996 with minimum difference: 0.0010609772664251782
# 12 0.015663000000000003 with minimum difference: 0.00015030634397303344
# 13 0.017250000000000012 with minimum difference: 0.0003211678944245733
# 14 0.01936300000000001 with minimum difference: 0.0007351617267052635
# 15 0.021555000000000005 with minimum difference: 3.379822312149505e-05
# 16 0.02391 with minimum difference: 0.0002803847039705709
# 17 0.026117999999999995 with minimum difference: 0.0004946026386693225
# 18 0.029433999999999974 with minimum difference: 0.00020578167132428993
# 19 0.03497700000000001 with minimum difference: 0.0022937107399248202
# 20 0.041756 with minimum difference: 0.00010416414648337091
# 21 0.04826400000000003 with minimum difference: 0.0002733019397111458
# 22 0.065107 with minimum difference: 0.00024181893582070346
# 23 0.088021 with minimum difference: 0.00026703768909167036
# 24 0.154921 with minimum difference: 0.0004575411414885211



#女性，67岁到92岁的每年死亡率，g = 0.02：initial_l
# 0 0.005444 with minimum difference: 0.0001614767380240939
# 1 0.005854000000000001, Min difference before stopping: 0.00019097819738711497
# 2 0.006512000000000001 with minimum difference: 0.000380075849328837
# 3 0.006750000000000002 with minimum difference: 8.930783425574462e-05
# 4 0.007268000000000001 with minimum difference: 8.29793659663236e-05
# 5 0.007835999999999996 with minimum difference: 0.00012312689782453812
# 6 0.008475999999999997 with minimum difference: 5.933680250738704e-05
# 7 0.009290000000000001 with minimum difference: 0.00021815994237742165
# 8 0.010074000000000001 with minimum difference: 0.00010667839122022182
# 9 0.01087899999999999 with minimum difference: 0.00011056780866761096
# 10 0.011947 with minimum difference: 0.00013246687594381523 
# 11 0.012907999999999994 with minimum difference: 0.00022482506720589157
# 12 0.014129 with minimum difference: 0.0002479502016031754  
# 13 0.015506 with minimum difference: 0.0008079669333760919
# 14 0.0177003 with minimum difference: 0.00015973917314840436
# 15 0.019618000000000003 with minimum difference: 0.0001084579788950546
# 16 0.021557199999999964 with minimum difference: 4.3742768336241244e-05
