Start,End,Value
0.0,0.0,0.006796286433076504
0.0,1.0,0.007199615663737758
0.0,2.0,0.00783047824465409
0.0,3.0,0.008417533196610255
0.0,4.0,0.009129469551907285
0.0,5.0,0.00988971998403114
0.0,6.0,0.010768463833352095
0.0,7.0,0.011757906167168998
0.0,8.0,0.012899501108368313
0.0,9.0,0.014209546965759242
0.0,10.0,0.015719841607499455
0.0,11.0,0.01745265413435189
0.0,12.0,0.019433213459945867
0.0,13.0,0.021680593353953368
0.0,14.0,0.024210202400688923
0.0,15.0,0.027028190346865443
0.0,16.0,0.030128096435902262
0.0,17.0,0.0334831858870135
0.0,18.0,0.03703815751030653
0.0,19.0,0.04069932999064393
0.0,20.0,0.044326667913326206
0.0,21.0,0.04773039692547991
0.0,22.0,0.050676403797716735
0.0,23.0,0.05290328554558769
0.0,24.0,0.054151662286251796
1.0,1.0,0.0015955748666667
1.0,2.0,0.0017099329275079
1.0,3.0,0.0018113011036035
1.0,4.0,0.0019334364140842
1.0,5.0,0.0020578130838977
1.0,6.0,0.002194103282744
1.0,7.0,0.0023353603753829
1.0,8.0,0.002484222951774
1.0,9.0,0.0026391734136697
1.0,10.0,0.002803046563042
1.0,11.0,0.0029783799929678
1.0,12.0,0.003169548303328
1.0,13.0,0.0033805933414443
1.0,14.0,0.0036153663519779
1.0,15.0,0.0038766222209591
1.0,16.0,0.0041662787174536
1.0,17.0,0.0044857617526192
1.0,18.0,0.0048370291661059
1.0,19.0,0.005223704934821
1.0,20.0,0.005652246952415
1.0,21.0,0.0061327523689971
1.0,22.0,0.006679307660809
1.0,23.0,0.0073098459968385
1.0,24.0,0.0080456690000077
2.0,2.0,0.0017126656137161
2.0,3.0,0.0018141957888073
2.0,4.0,0.001936526286756
2.0,5.0,0.0020611017260093
2.0,6.0,0.0021976097336017
2.0,7.0,0.0023390925727027
2.0,8.0,0.0024881930500681
2.0,9.0,0.0026433911421389
2.0,10.0,0.0028075261812544
2.0,11.0,0.0029831398158818
2.0,12.0,0.0031746136370586
2.0,13.0,0.0033859959514831
2.0,14.0,0.0036211441585859
2.0,15.0,0.0038828175470491
2.0,16.0,0.0041729369507724
2.0,17.0,0.0044929305596979
2.0,18.0,0.0048447593423476
2.0,19.0,0.0052320530671961
