,Value
0,0.9074988874897775
1,0.9088829282568822
2,0.9103354365997569
3,0.9118972115973033
4,0.9135574270281311
5,0.9153362735281014
6,0.9172371780372074
7,0.919272696903925
8,0.9214492122099321
9,0.9237758062476052
10,0.9262604245162872
11,0.9289139971633489
12,0.9317502646836127
13,0.934787664246703
14,0.9380492107924544
15,0.9415625425476546
16,0.9453591135210596
17,0.9494736422826162
18,0.9539439149365223
19,0.9588116496792414
20,0.9641246172554363
21,0.9699401740589755
22,0.9763300005440779
23,0.9833857646704371
24,0.9912254138173056
