,Value
0,0.27561562661013356
1,0.2763649934353128
2,0.27711639770171254
3,0.2778698449488985
4,0.2786253407314977
5,0.2794317183799221
6,0.2802404297891959
7,0.2810514817135239
8,0.2818648809266584
9,0.282748612347087
10,0.2836351145320779
11,0.2845243961688139
12,0.28541646597171455
13,0.2863791644981462
14,0.28734511016888553
15,0.2883143139364227
16,0.2892867867901902
17,0.2903443071882157
18,0.2914056934710424
19,0.29247095977084714
20,0.2935401202714686
21,0.29470414220269425
22,0.2958727800176197
23,0.29704605202035206
24,0.29822397658758304
25,0.2995149737959777
26,0.30081155966901
27,0.30211375839973975
28,0.30342159428595705
29,0.30486299021408214
30,0.30631123345387107
31,0.3077663565332894
32,0.3092283921348257
33,0.31085222882715924
34,0.31248459269769
35,0.31412552852479275
36,0.31577508132198484
37,0.3176207293330457
38,0.31947716482159355
39,0.3213444508384756
40,0.3232226508030597
41,0.32533983488524415
42,0.3274708870191469
43,0.32961589804375546
44,0.33177495939307405
45,0.33422438062974985
46,0.336691885402343
47,0.3391776072176047
48,0.34168168056793674
49,0.3445376813201385
50,0.3474175544095491
51,0.3503214993769015
52,0.35324971743082184
53,0.35660287581771294
54,0.35998786344780725
55,0.36340498245437913
56,0.3668545378386479
57,0.37081645678965774
58,0.3748211632767489
59,0.3788691193924747
60,0.38296079221984924
61,0.3876710778729501
62,0.3924392984149078
63,0.3972661664248725
64,0.4021524032464718
65,0.4077897081383155
66,0.4135060358239734
67,0.41930249403170594
68,0.42518020601772266
69,0.43197863824623545
70,0.43888577421991676
71,0.44590335206070664
72,0.4530331376823003
73,0.4613065664733735
74,0.4697310871344833
75,0.47830945895126176
76,0.48704449160025337
77,0.49722198252522387
78,0.5076121466726912
79,0.518219428153674
80,0.529048363945245
81,0.5417261088743378
82,0.5547076544149449
83,0.5680002806324147
84,0.5816114420464895
85,0.5976296706433797
86,0.6140890591433132
87,0.6310017575826615
88,0.6483802506233651
89,0.6689393432108136
90,0.6901503314838769
91,0.7120338860039196
92,0.7346113327624866
93,0.7614511415566712
94,0.7892715714003561
95,0.8181084503298024
96,0.8479989153968013
97,0.8836829436985691
98,0.9208685657556138
99,0.95961896904741
